item,context,sentence
1,"Sarah und ihre Arbeitskollegen betreten das Büro. Ein unkontrollierter Angestellter ist sehr laut, und droht ohne Grund einen Azubi zu feuern. Sarah wird sich dem Angestellten in den Weg stellen, weil er den Azubi sonst zugrunde richten wird. Für ihr Handeln wird sie danach bejubelt werden.","Sarah kontert einen Bulldozer, und wird offensichtlich den Angestellten aufhalten."
2,"Michael geht mit seinen Freunden in die Bibliothek. Dort sieht er eine schlafende Bibliothekarin, die den Ruf hat, sehr böse zu sein und Kinder zu hassen.  Er versucht leise zu sein, aber sein Handy klingelt und seine Freunde lachen. Das wird sich als Fehler erweisen.","Michael belästigt einen Drachen, und wird vorsichtig die Bibliothekarin besänftigen."
